"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"97",1.49138322236067e-27,1.18103590260612,1,1,2.98276644472134e-24,"NMF_4","6232","RPS27"
"98",1.70400580777126e-27,1.20161855013607,1,1,3.40801161554252e-24,"NMF_4","6208","RPS14"
"99",2.14436513581459e-27,1.16719547280812,1,1,4.28873027162918e-24,"NMF_4","6157","RPL27A"
"100",3.64538220789752e-27,1.1886874778088,1,1,7.29076441579504e-24,"NMF_4","25873","RPL36"
"101",1.5923735226207e-25,1.18635729955664,1,1,3.18474704524139e-22,"NMF_4","6168","RPL37A"
"102",5.69177802344153e-25,1.07629289722123,1,1,1.13835560468831e-21,"NMF_4","6167","RPL37"
"103",9.99148022658767e-25,1.12498738491627,1,1,1.99829604531753e-21,"NMF_4","6159","RPL29"
"104",1.54268176526156e-24,1.19219318321631,1,1,3.08536353052312e-21,"NMF_4","6181","RPLP2"
"105",1.56035159764454e-24,1.10923042141011,1,1,3.12070319528908e-21,"NMF_4","2197","FAU"
"106",5.43228184782224e-24,1.08350705445707,1,1,1.08645636956445e-20,"NMF_4","6165","RPL35A"
"107",1.16600090906492e-23,1.07926720651607,1,1,2.33200181812985e-20,"NMF_4","11224","RPL35"
"108",3.073018145864e-23,1.06641979943848,1,1,6.146036291728e-20,"NMF_4","6169","RPL38"
"109",5.11071373869657e-23,1.09027310114287,1,1,1.02214274773931e-19,"NMF_4","6201","RPS7"
"110",6.12984974269512e-23,1.17216655909075,1,1,1.22596994853902e-19,"NMF_4","6188","RPS3"
"111",7.59616669809217e-23,1.09070015184507,1,1,1.51923333961843e-19,"NMF_4","6170","RPL39"
"112",2.52514151673878e-22,1.13362064226465,1,1,5.05028303347755e-19,"NMF_4","6142","RPL18A"
"113",1.51297897786228e-21,1.18492402428052,1,1,3.02595795572456e-18,"NMF_4","6234","RPS28"
"114",2.13755011121752e-21,1.09825873964511,1,1,4.27510022243504e-18,"NMF_4","6176","RPLP1"
"115",1.28277617537832e-20,1.23006112870825,1,1,2.56555235075665e-17,"NMF_4","6137","RPL13"
"116",1.36772210697216e-19,1.08801608132462,1,1,2.73544421394432e-16,"NMF_4","6155","RPL27"
"117",4.95147944642009e-19,1.13918537894103,1,1,9.90295889284018e-16,"NMF_4","60674","GAS5"
"118",3.74791678191347e-18,1.18733617616106,1,1,7.49583356382693e-15,"NMF_4","254948","RPL9P8"
"119",5.91517379897853e-15,1.1680044346945,1,1,1.18303475979571e-11,"NMF_4","390354","RPL18AP3"
"120",1.95707410440478e-11,1.07770168361223,1,1,3.91414820880955e-08,"NMF_4","6231","RPS26"
