"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"28813",1.68909838943328e-06,-0.280249245500924,0.987,0.94,0.00844549194716638,"NMF_4","28813","IGLV2-23"
"6423",1.76767593319213e-06,-0.409818030792731,0.993,1,0.00883837966596064,"NMF_4","6423","SFRP2"
"28444",3.40146169233003e-06,-0.256381876983227,0.96,0.945,0.0170073084616502,"NMF_4","28444","IGHV3-21"
"3502",3.66146383015239e-06,-0.344781988614844,1,1,0.0183073191507619,"NMF_4","3502","IGHG3"
"10631",3.97328793476917e-06,-0.367561470054115,1,1,0.0198664396738458,"NMF_4","10631","POSTN"
"28394",4.71749853752948e-06,-0.281503968843326,0.98,0.954,0.0235874926876474,"NMF_4","28394","IGHV4-39"
"28796",6.72084718795048e-06,-0.285933276784251,0.987,0.927,0.0336042359397524,"NMF_4","28796","IGLV3-21"
"28914",6.85614161301526e-06,-0.354296409948945,1,0.968,0.0342807080650763,"NMF_4","28914","IGKV3-11"
"3514",1.16303348199006e-05,-0.542428994403277,1,1,0.0581516740995028,"NMF_4","3514","IGKC"
"28912",1.44741754259693e-05,-0.43203494307324,1,0.977,0.0723708771298465,"NMF_4","28912","IGKV3-20"
"25818",1.77341854652283e-05,0.28026806085805,1,1,0.0886709273261413,"NMF_4","25818","KLK5"
"28299",1.93104580811368e-05,-0.392636248825617,0.993,0.982,0.0965522904056842,"NMF_4","28299","IGKV1-5"
"28908",2.72922420990276e-05,-0.424404557594076,0.993,0.963,0.136461210495138,"NMF_4","28908","IGKV4-1"
"28442",3.53228033341095e-05,-0.263909507112391,1,0.959,0.176614016670548,"NMF_4","28442","IGHV3-23"
"28825",4.13502862503424e-05,-0.329748870083155,0.993,0.94,0.206751431251712,"NMF_4","28825","IGLV1-40"
"586",4.27279884287011e-05,-0.256826635529586,1,1,0.213639942143505,"NMF_4","586","BCAT1"
"3501",7.5712224373208e-05,-0.378185221220878,1,0.995,0.37856112186604,"NMF_4","3501","IGHG2"
"3507",0.000175325228966779,-0.35568059243133,1,1,0.876626144833897,"NMF_4","3507","IGHM"
"28815",0.000179554947711426,-0.278957954179311,1,0.977,0.897774738557128,"NMF_4","28815","IGLV2-14"
"3538",0.000223972535692584,-0.412800877667344,1,1,1,"NMF_4","3538","IGLC2"
"3539",0.000322430758948905,-0.31415284617182,1,1,1,"NMF_4","3539","IGLC3"
